subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Fear,Fear,7,108,0.25028759916907417
all,Fear,Happiness,7,108,0.21223275149361115
all,Fear,Neutral,7,108,0.14774990619203698
all,Fear,Sadness,7,108,0.11646965081796298
all,Fear,Surprise,7,108,0.03918962742712961
all,Fear,Anger,8,108,0.08838515037601849
all,Fear,Disgust,8,108,0.1417240455153704
all,Fear,Fear,8,108,0.27383731724083343
all,Fear,Happiness,8,108,0.20164849177250002
all,Fear,Neutral,8,108,0.1529162691651852
all,Fear,Sadness,8,108,0.10133868038564817
all,Fear,Surprise,8,108,0.04015004250981482
all,Fear,Anger,9,108,0.08324752542361111
all,Fear,Disgust,9,108,0.1421421082337963
all,Fear,Fear,9,108,0.2870656691297222
all,Fear,Happiness,9,108,0.19817713176861115
all,Fear,Neutral,9,108,0.15652546835981485
all,Fear,Sadness,9,108,0.09239679560324074
all,Fear,Surprise,9,108,0.04044529463111112
all,Fear,Anger,10,108,0.07838849075749997
all,Fear,Disgust,10,108,0.14682334606129632
all,Fear,Fear,10,108,0.2934866935164815
all,Fear,Happiness,10,108,0.194365906032963
all,Fear,Neutral,10,108,0.15756827179388888
all,Fear,Sadness,10,108,0.08687463291416664
all,Fear,Surprise,10,108,0.04249266190314816
all,Fear,Anger,11,108,0.08143206453509251
all,Fear,Disgust,11,108,0.14258225880648145
all,Fear,Fear,11,108,0.30853450872185195
all,Fear,Happiness,11,108,0.178176637467963
all,Fear,Neutral,11,108,0.1629753798737037
all,Fear,Sadness,11,108,0.08357813620324078
all,Fear,Surprise,11,108,0.04272101718194446
all,Fear,Anger,12,108,0.0859155186937037
all,Fear,Disgust,12,108,0.1395576514485185
all,Fear,Fear,12,108,0.31653231149814814
all,Fear,Happiness,12,108,0.16752859366685188
all,Fear,Neutral,12,108,0.16420798538944442
all,Fear,Sadness,12,108,0.0808583113091667
all,Fear,Surprise,12,108,0.045399627622870364
all,Fear,Anger,13,108,0.0846537925887963
all,Fear,Disgust,13,108,0.14312234502240737
all,Fear,Fear,13,108,0.32739508605675915
all,Fear,Happiness,13,108,0.15817773403481483
all,Fear,Neutral,13,108,0.15793731737962968
all,Fear,Sadness,13,108,0.07916005420333336
all,Fear,Surprise,13,108,0.04955366695583332
all,Fear,Anger,14,108,0.08095564233620367
all,Fear,Disgust,14,108,0.14657717423333336
all,Fear,Fear,14,108,0.33184441801361114
all,Fear,Happiness,14,108,0.15155237196861113
all,Fear,Neutral,14,108,0.15955496510203698
all,Fear,Sadness,14,108,0.07784212634583333
all,Fear,Surprise,14,108,0.05167330141481482
all,Fear,Anger,15,108,0.07265346624907404
all,Fear,Disgust,15,108,0.15629030363833338
all,Fear,Fear,15,108,0.33662182569999993
all,Fear,Happiness,15,108,0.14710681037694445
all,Fear,Neutral,15,108,0.1603592054977777
all,Fear,Sadness,15,108,0.07247058912435189
all,Fear,Surprise,15,108,0.05449779857833334
all,Fear,Anger,16,108,0.06165993411018519
all,Fear,Disgust,16,108,0.15482563679814815
all,Fear,Fear,16,108,0.3534403499021297
all,Fear,Happiness,16,108,0.14536446665333336
all,Fear,Neutral,16,108,0.15568444913944446
all,Fear,Sadness,16,108,0.06758392801064814
all,Fear,Surprise,16,108,0.061441238242499994
all,Fear,Anger,17,108,0.051551942137129624
all,Fear,Disgust,17,108,0.14669295636944443
all,Fear,Fear,17,108,0.3739050921954629
all,Fear,Happiness,17,108,0.13562054168916662
all,Fear,Neutral,17,108,0.15870891935138887
all,Fear,Sadness,17,108,0.06522334389824078
all,Fear,Surprise,17,108,0.06829720733620369
all,Fear,Anger,18,108,0.04483515969592595
all,Fear,Disgust,18,108,0.14255077795500004
all,Fear,Fear,18,108,0.40241757971018516
all,Fear,Happiness,18,108,0.12680081751722222
all,Fear,Neutral,18,108,0.1517533801498148
all,Fear,Sadness,18,108,0.06394062532749997
all,Fear,Surprise,18,108,0.06770166174944445
all,Fear,Anger,19,108,0.039910131730462955
all,Fear,Disgust,19,108,0.1438954766508334
all,Fear,Fear,19,108,0.4343554857090741
all,Fear,Happiness,19,108,0.11853669129175931
all,Fear,Neutral,19,108,0.1231829225610185
all,Fear,Sadness,19,108,0.06397493772175926
all,Fear,Surprise,19,108,0.0761443532100926
all,Fear,Anger,20,108,0.03158442670166666
