modality,source,target,n_2,errors_2,rate_2,n_3,errors_3,rate_3,total_errors,rate_delta_2_minus_3_pp,two_vote_share_in_errors,two_vote_share_in_source,minority_matches,minority_match_rate_among_two_vote_errors,error_participants
Multimodal,Disgust,Anger,52,8,0.15384615384615385,56,0,0.0,8,15.384615384615385,1.0,0.48148148148148145,5,0.625,4
Multimodal,Sadness,Disgust,14,1,0.07142857142857142,94,6,0.06382978723404255,7,0.7598784194528876,0.14285714285714285,0.12962962962962962,0,0.0,1
Multimodal,Disgust,Fear,52,3,0.057692307692307696,56,2,0.03571428571428571,5,2.1978021978021984,0.6,0.48148148148148145,3,1.0,1
Multimodal,Anger,Neutral,28,2,0.07142857142857142,80,2,0.025,4,4.642857142857142,0.5,0.25925925925925924,2,1.0,1
Multimodal,Fear,Disgust,70,3,0.04285714285714286,38,1,0.02631578947368421,4,1.6541353383458648,0.75,0.6481481481481481,2,0.6666666666666666,2
Multimodal,Fear,Surprise,70,4,0.05714285714285714,38,0,0.0,4,5.714285714285714,1.0,0.6481481481481481,4,1.0,1
Multimodal,Neutral,Happiness,14,1,0.07142857142857142,94,3,0.031914893617021274,4,3.951367781155015,0.25,0.12962962962962962,1,1.0,2
Multimodal,Disgust,Sadness,52,2,0.038461538461538464,56,0,0.0,2,3.8461538461538463,1.0,0.48148148148148145,2,1.0,1
Multimodal,Fear,Neutral,70,0,0.0,38,2,0.05263157894736842,2,-5.263157894736842,0.0,0.6481481481481481,0,,1
Multimodal,Neutral,Sadness,14,0,0.0,94,2,0.02127659574468085,2,-2.127659574468085,0.0,0.12962962962962962,0,,1
Multimodal,Disgust,Surprise,52,0,0.0,56,1,0.017857142857142856,1,-1.7857142857142856,0.0,0.48148148148148145,0,,1
Multimodal,Sadness,Anger,14,1,0.07142857142857142,94,0,0.0,1,7.142857142857142,1.0,0.12962962962962962,1,1.0,1
Multimodal,Surprise,Sadness,28,0,0.0,80,1,0.0125,1,-1.25,0.0,0.25925925925925924,0,,1
Multimodal,Anger,Fear,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Multimodal,Anger,Happiness,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Multimodal,Anger,Sadness,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Multimodal,Anger,Surprise,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Multimodal,Disgust,Neutral,52,0,0.0,56,0,0.0,0,0.0,,0.48148148148148145,0,,0
Multimodal,Fear,Anger,70,0,0.0,38,0,0.0,0,0.0,,0.6481481481481481,0,,0
Multimodal,Fear,Sadness,70,0,0.0,38,0,0.0,0,0.0,,0.6481481481481481,0,,0
Multimodal,Happiness,Anger,0,0,,108,0,0.0,0,,,0.0,0,,0
Multimodal,Happiness,Disgust,0,0,,108,0,0.0,0,,,0.0,0,,0
Multimodal,Happiness,Fear,0,0,,108,0,0.0,0,,,0.0,0,,0
Multimodal,Happiness,Neutral,0,0,,108,0,0.0,0,,,0.0,0,,0
Multimodal,Happiness,Sadness,0,0,,108,0,0.0,0,,,0.0,0,,0
Multimodal,Happiness,Surprise,0,0,,108,0,0.0,0,,,0.0,0,,0
Multimodal,Neutral,Anger,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Multimodal,Neutral,Disgust,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Multimodal,Neutral,Fear,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Multimodal,Neutral,Surprise,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Multimodal,Sadness,Fear,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Multimodal,Sadness,Happiness,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Multimodal,Sadness,Neutral,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Multimodal,Sadness,Surprise,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Multimodal,Surprise,Anger,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Multimodal,Surprise,Disgust,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Multimodal,Surprise,Happiness,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Multimodal,Surprise,Neutral,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
