true_label,rank,fea_name,raw_difference_incorrect_minus_correct,sd_scaled_difference,abs_sd_scaled_difference,is_paper_relevant_fea,rank_within_paper_relevant
Disgust,56,LipFunnelerLT,0.001512361017356986,0.037385913413050476,0.037385913413050476,True,30
Disgust,57,LipTightenerL,-0.0021140618571534094,-0.0358713624612194,0.0358713624612194,True,31
Disgust,58,LipFunnelerRB,-0.0012463243404529226,-0.025092341659149368,0.025092341659149368,True,32
Disgust,59,LipFunnelerLB,-0.0010516645157411652,-0.020980353693661486,0.020980353693661486,True,33
Disgust,60,LipFunnelerRT,0.0008496045975787576,0.020957115816407537,0.020957115816407537,True,34
Disgust,61,InnerBrowRaiserR,0.0023318850879842368,0.014837281192398454,0.014837281192398454,True,35
Fear,1,UpperLidRaiserR,-0.2969857552210984,-1.3802425452458948,1.3802425452458948,True,1
Fear,2,UpperLidRaiserL,-0.1971649259739055,-1.1016950692391099,1.1016950692391099,True,2
Fear,3,OuterBrowRaiserL,-0.15252130797186889,-0.9726243025389881,0.9726243025389881,True,3
Fear,4,OuterBrowRaiserR,-0.15476775387058803,-0.9659970528427863,0.9659970528427863,True,4
Fear,5,InnerBrowRaiserL,-0.12836827121851896,-0.8359361536818334,0.8359361536818334,True,5
Fear,6,InnerBrowRaiserR,-0.1309731152183043,-0.8333536455770321,0.8333536455770321,True,6
Fear,8,JawDrop,-0.11341447667332463,-0.6351967763635086,0.6351967763635086,True,7
Fear,9,LidTightenerR,0.11287273157964954,0.6003077258779727,0.6003077258779727,True,8
Fear,10,LidTightenerL,0.09348121169112997,0.5193952519423026,0.5193952519423026,True,9
Fear,11,UpperLipRaiserR,0.08212563598603968,0.42804238892163565,0.42804238892163565,True,10
Fear,12,BrowLowererL,0.05991577307913724,0.40992990630358533,0.40992990630358533,True,11
Fear,13,CheekRaiserR,0.07923071025034642,0.3825514713355497,0.3825514713355497,True,12
Fear,16,CheekRaiserL,0.07814843373751572,0.3661872207939528,0.3661872207939528,True,13
Fear,17,UpperLipRaiserL,0.06430533140236366,0.3506431494060413,0.3506431494060413,True,14
Fear,20,BrowLowererR,0.0433742511647905,0.3071939715496056,0.3071939715496056,True,15
Fear,29,LipCornerPullerR,0.037259733129826916,0.16138171166155182,0.16138171166155182,True,16
Fear,32,LipCornerPullerL,0.033972291384677174,0.1505033814533835,0.1505033814533835,True,17
Fear,33,NoseWrinklerL,0.02419406512243802,0.1401546620847276,0.1401546620847276,True,18
Fear,34,NoseWrinklerR,0.024163111822118395,0.13790344178768543,0.13790344178768543,True,19
Fear,37,LipStretcherR,-0.014632957386920359,-0.12887288202851646,0.12887288202851646,True,20
Fear,38,LipCornerDepressorR,-0.019455914467208103,-0.12040248090907313,0.12040248090907313,True,21
Fear,40,LipStretcherL,-0.011907738260020465,-0.11043051351936366,0.11043051351936366,True,22
Fear,43,LipCornerDepressorL,-0.013867326419620976,-0.08324574356859735,0.08324574356859735,True,23
Fear,44,ChinRaiserT,0.015607909005654591,0.08247959601603524,0.08247959601603524,True,24
Fear,50,LipTightenerR,0.0009638139141771144,0.017012990466720397,0.017012990466720397,True,25
Fear,51,LipFunnelerRT,0.0006606922591806614,0.016297233129520035,0.016297233129520035,True,26
Fear,52,LowerLipDepressorR,-0.0013114842477971109,-0.011237921243822892,0.011237921243822892,True,27
Fear,54,ChinRaiserB,-0.0019440553467250984,-0.009449819142013125,0.009449819142013125,True,28
Fear,55,LowerLipDepressorL,0.0009871879018091556,0.00824879193805072,0.00824879193805072,True,29
Fear,56,LipFunnelerLT,0.0002715341619487736,0.006712387155444544,0.006712387155444544,True,30
Fear,57,LipPressorR,-8.956544725305724e-05,-0.0020066595214787166,0.0020066595214787166,True,31
Fear,58,LipPressorL,-7.633990219184794e-05,-0.0017229915818018269,0.0017229915818018269,True,32
Fear,59,LipTightenerL,5.952623918674513e-05,0.0010100401246991642,0.0010100401246991642,True,33
Fear,60,LipFunnelerRB,1.5174432840197402e-05,0.000305507997357797,0.000305507997357797,True,34
Fear,61,LipFunnelerLB,7.2256550128288065e-06,0.00014414938943783606,0.00014414938943783606,True,35
Neutral,3,LidTightenerR,0.12692007267358973,0.6750177755836876,0.6750177755836876,True,1
Neutral,4,LidTightenerL,0.09312610355529684,0.5174222193260031,0.5174222193260031,True,2
Neutral,7,CheekRaiserL,0.08028995902316391,0.3762219605207328,0.3762219605207328,True,3
Neutral,8,InnerBrowRaiserR,0.057764622406345265,0.3675438168166966,0.3675438168166966,True,4
Neutral,9,UpperLidRaiserL,-0.05233978463479091,-0.29245811531822663,0.29245811531822663,True,5
Neutral,11,BrowLowererR,0.03687226556679657,0.26114428250212113,0.26114428250212113,True,6
Neutral,12,CheekRaiserR,0.045263610128098666,0.21854733597301212,0.21854733597301212,True,7
Neutral,13,InnerBrowRaiserL,0.03306221421768549,0.2153016467619895,0.2153016467619895,True,8
Neutral,15,BrowLowererL,-0.028277072822391724,-0.19346521319707244,0.19346521319707244,True,9
Neutral,17,UpperLidRaiserR,-0.032086214723501975,-0.14912081774528985,0.14912081774528985,True,10
Neutral,20,LipTightenerR,0.00644539262700743,0.11377238044043905,0.11377238044043905,True,11
Neutral,25,LipTightenerL,0.00522480606045298,0.08865441252341,0.08865441252341,True,12
Neutral,26,UpperLipRaiserL,0.015586969780750887,0.08499239572254798,0.08499239572254798,True,13
Neutral,30,JawDrop,-0.008704168526260134,-0.04874915399671857,0.04874915399671857,True,14
Neutral,31,OuterBrowRaiserL,-0.007410168101909332,-0.04725444383905717,0.04725444383905717,True,15
Neutral,32,UpperLipRaiserR,0.008587342233346618,0.04475760144705814,0.04475760144705814,True,16
Neutral,34,LowerLipDepressorL,-0.00440798772069217,-0.03683247485796419,0.03683247485796419,True,17
Neutral,36,LowerLipDepressorR,-0.0039927036080677,-0.034212907072852426,0.034212907072852426,True,18
Neutral,38,LipCornerPullerL,0.0076183540149189835,0.033750683089672995,0.033750683089672995,True,19
Neutral,39,LipCornerPullerR,0.0076437311419857955,0.033107011552557145,0.033107011552557145,True,20
