true_label,fea_name,raw_difference_incorrect_minus_correct
Sadness,LipStretcherL,-0.039039010005008076
Surprise,LipStretcherL,-0.008393487531539385
Anger,LipStretcherR,0.07209167311126465
Disgust,LipStretcherR,-0.050057506149669126
Fear,LipStretcherR,-0.014632957386920359
Happiness,LipStretcherR,
Neutral,LipStretcherR,-0.00027031054862884044
Sadness,LipStretcherR,-0.03632354077591785
Surprise,LipStretcherR,-0.010136267487091462
Anger,LipSuckLB,0.052987871507476636
Disgust,LipSuckLB,-0.013630087731561644
Fear,LipSuckLB,0.029839187827943543
Happiness,LipSuckLB,
Neutral,LipSuckLB,0.010759645293333203
Sadness,LipSuckLB,0.05266709143603853
Surprise,LipSuckLB,-0.03518357164154137
Anger,LipSuckLT,0.018234418321185074
Disgust,LipSuckLT,0.011208113266896885
Fear,LipSuckLT,0.0214883562431498
Happiness,LipSuckLT,
Neutral,LipSuckLT,-0.007903986079307835
Sadness,LipSuckLT,-0.017540158604388685
Surprise,LipSuckLT,-0.014752482885808316
Anger,LipSuckRB,0.045484421153523746
Disgust,LipSuckRB,-0.020581464002631403
Fear,LipSuckRB,0.025838192571399334
Happiness,LipSuckRB,
Neutral,LipSuckRB,0.012297669179812516
Sadness,LipSuckRB,0.04745081783874032
Surprise,LipSuckRB,-0.024670128744556114
Anger,LipSuckRT,0.016819377946542154
Disgust,LipSuckRT,0.011751328024522223
Fear,LipSuckRT,0.022379684943544524
Happiness,LipSuckRT,
Neutral,LipSuckRT,-0.005431635885238983
Sadness,LipSuckRT,-0.012648439626609252
Surprise,LipSuckRT,-0.013224042878068143
Anger,LipTightenerL,-0.11607436065466627
Disgust,LipTightenerL,-0.0021140618571534094
Fear,LipTightenerL,5.952623918674513e-05
Happiness,LipTightenerL,
Neutral,LipTightenerL,0.00522480606045298
Sadness,LipTightenerL,-0.07399294243744313
Surprise,LipTightenerL,0.10338960865470952
Anger,LipTightenerR,-0.11655541252989736
Disgust,LipTightenerR,-0.003137985806383881
Fear,LipTightenerR,0.0009638139141771144
Happiness,LipTightenerR,
Neutral,LipTightenerR,0.00644539262700743
Sadness,LipTightenerR,-0.07215722011239094
Surprise,LipTightenerR,0.09326447083675685
Anger,LipsToward,0.010249167807649853
Disgust,LipsToward,-0.011008211359262034
