subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Disgust,Fear,29,54,0.12323580456833892
all,Disgust,Happiness,29,54,0.1729116578593333
all,Disgust,Neutral,29,54,0.023369647414981484
all,Disgust,Sadness,29,54,0.03039563608105556
all,Disgust,Surprise,29,54,0.03863987044766666
all,Disgust,Anger,30,54,0.09304173468674072
all,Disgust,Disgust,30,54,0.5252149683581483
all,Disgust,Fear,30,54,0.12016966561893148
all,Disgust,Happiness,30,54,0.177017620473463
all,Disgust,Neutral,30,54,0.012174063866646294
all,Disgust,Sadness,30,54,0.030507713201546296
all,Disgust,Surprise,30,54,0.04187422658970373
all,Fear,Anger,1,54,0.10008153664814816
all,Fear,Disgust,1,54,0.11350218342592594
all,Fear,Fear,1,54,0.20904820296296298
all,Fear,Happiness,1,54,0.17016077498148144
all,Fear,Neutral,1,54,0.15109448545555557
all,Fear,Sadness,1,54,0.11850813296296295
all,Fear,Surprise,1,54,0.1376046948148148
all,Fear,Anger,2,54,0.06414575897592592
all,Fear,Disgust,2,54,0.07755637483333332
all,Fear,Fear,2,54,0.23228894199629627
all,Fear,Happiness,2,54,0.20204915532592593
all,Fear,Neutral,2,54,0.18267263032222225
all,Fear,Sadness,2,54,0.11052361476944446
all,Fear,Surprise,2,54,0.1307635223111111
all,Fear,Anger,3,54,0.04256271688888888
all,Fear,Disgust,3,54,0.05837162690000001
all,Fear,Fear,3,54,0.24579551477111108
all,Fear,Happiness,3,54,0.21455768647685183
all,Fear,Neutral,3,54,0.21445378245796295
all,Fear,Sadness,3,54,0.10104129981685189
all,Fear,Surprise,3,54,0.12321736867111108
all,Fear,Anger,4,54,0.030410985886851854
all,Fear,Disgust,4,54,0.047785523253703714
all,Fear,Fear,4,54,0.2617679521838889
all,Fear,Happiness,4,54,0.21522828094444446
all,Fear,Neutral,4,54,0.23428684618840745
all,Fear,Sadness,4,54,0.09268096256240742
all,Fear,Surprise,4,54,0.1178394519237037
all,Fear,Anger,5,54,0.02385797161740741
all,Fear,Disgust,5,54,0.04178503738703704
all,Fear,Fear,5,54,0.27214301054518514
all,Fear,Happiness,5,54,0.21240432943129625
all,Fear,Neutral,5,54,0.24823961345588894
all,Fear,Sadness,5,54,0.08934977003796298
all,Fear,Surprise,5,54,0.11222026607481475
all,Fear,Anger,6,54,0.020191480181259266
all,Fear,Disgust,6,54,0.03859678785185186
all,Fear,Fear,6,54,0.28123990027111107
all,Fear,Happiness,6,54,0.20751806787740742
all,Fear,Neutral,6,54,0.25857894025246303
all,Fear,Sadness,6,54,0.08519184233370371
all,Fear,Surprise,6,54,0.10868298324444449
all,Fear,Anger,7,54,0.017575796718703702
all,Fear,Disgust,7,54,0.036691179710740734
